Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,,Exchange
CUO,Continental Materials Corporation,19.5,32110143,n/a,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cuo,,AMEX
CMT,Core Molding Technologies Inc,12.89,95937421.31,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/cmt,,AMEX
CRMD,CorMedix Inc,2.66,50364878.9,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crmd,,AMEX
CRMD/WS,CorMedix Inc,0.7,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crmd/ws,,AMEX
CFP,Cornerstone Progressive Return Fund,5.32,208847894.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfp,,AMEX
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",5.8499,101820586.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crf,,AMEX
CLM,"Cornerstone Strategic Value Fund, Inc.",6.39,203723366.5,n/a,1987,n/a,n/a,http://www.nasdaq.com/symbol/clm,,AMEX
COVR,Cover-All Technologies Inc.,1.43,37637181.01,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/covr,,AMEX
CVU,"CPI Aerostructures, Inc.",12.77,107401995.6,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/cvu,,AMEX
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.6,188065270.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cik,,AMEX
DHY,Credit Suisse High Yield Bond Fund,3.2,312852886.4,n/a,1998,n/a,n/a,http://www.nasdaq.com/symbol/dhy,,AMEX
EXE,"Crexendo, Inc.",3.27,35407318.02,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/exe,,AMEX
CRVP,"Crystal Rock Holdings, Inc.",0.912,19480694.83,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/crvp,,AMEX
CTP,CTPartners Executive Search Inc.,10.8,77079200.4,n/a,2010,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ctp,,AMEX
DXR,Daxor Corporation,8.19,33493643.82,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxr,,AMEX
DEJ,Dejour Energy Inc.,0.2555,39836633.56,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dej,,AMEX
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",13.33,64478543,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/vcf,,AMEX
VFL,Delaware Investments Florida Insured Municipal Income Fund,12.4,56152693.2,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/vfl,,AMEX
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",13.45,154741913.8,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/vmm,,AMEX
DLA,"Delta Apparel, Inc.",16.26,128484048.5,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/dla,,AMEX
DNN,Denison Mine Corp,1.45,702786081.2,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/dnn,,AMEX
DGSE,"DGSE Companies, Inc.",2.12,25812238.08,n/a,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/dgse,,AMEX
DPW,Digital Power Corporation,1.74,11924500.14,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dpw,,AMEX
DSS,"Document Security Systems, Inc.",1.36,67313894.96,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dss,,AMEX
DMF,"Dreyfus Municipal Income, Inc.",9.07,187882782.5,n/a,1988,n/a,n/a,http://www.nasdaq.com/symbol/dmf,,AMEX
GRF,"Eagle Capital Growth Fund, Inc.",7.82,24438469.68,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grf,,AMEX
ESTE,"Earthstone Energy, Inc.",21.14,36619130.8,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/este,,AMEX
EVM,Eaton Vance California Municipal Bond Fund,10.91,237359989.3,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/evm,,AMEX
EIA,Eaton Vance California Municipal Bond Fund II,11.85,46039975.5,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eia,,AMEX
CEV,Eaton Vance California Municipal Income Trust,12.01,87205510.75,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/cev,,AMEX
EVV,Eaton Vance Limited Duration Income Fund,15.34,1803171256,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/evv,,AMEX
MAB,Eaton Vance Massachusetts Municipal Bond Fund,13.06,23096792.84,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/mab,,AMEX
MMV,Eaton Vance Massachusetts Municipal Income Trust,12.98,311174719,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/mmv,,AMEX
MIW,Eaton Vance Michigan Municipal Bond Fund,12.3601,18713994.81,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/miw,,AMEX
EMI,Eaton Vance Michigan Municipal Income Trust,12,25395528,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/emi,,AMEX
EIM,Eaton Vance Municipal Bond Fund,11.93,813247222.5,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eim,,AMEX
EIV,Eaton Vance Municipal Bond Fund II,11.63,116455621,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eiv,,AMEX
EMJ,Eaton Vance New Jersey Municipal Bond Fund,12.35,32220038.5,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/emj,,AMEX
EVJ,Eaton Vance New Jersey Municipal Income Trust,12.4,58021559.2,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evj,,AMEX
ENX,Eaton Vance New York Municipal Bond Fund,12.04,191394883.4,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/enx,,AMEX
NYH,Eaton Vance New York Municipal Bond Fund II,11.95,30674944.95,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nyh,,AMEX
EVY,Eaton Vance New York Municipal Income Trust,13.79,75495230.44,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evy,,AMEX
EIO,Eaton Vance Ohio Municipal Bond Fund,11.88,30139548.12,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eio,,AMEX
EVO,Eaton Vance Ohio Municipal Income Trust,12.9546,37013326.07,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evo,,AMEX
