Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange
ATAX,"America First Multifamily Investors, L.P.",5.96,359107450.9,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax,nasdaq
AMOV,"America Movil, S.A.B. de C.V.",19.2301,208180101.2,10825742,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,nasdaq
AAL,"American Airlines Group, Inc.",35.39,16686990240,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal,nasdaq
AALCP,"American Airlines Group, Inc.",26.61,0,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aalcp,nasdaq
AGNC,American Capital Agency Corp.,21.25,7527423880,n/a,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc,nasdaq
AGNCP,American Capital Agency Corp.,26.11,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp,nasdaq
MTGE,American Capital Mortgage Investment Corp.,18.72,959480365,n/a,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge,nasdaq
ACSF,"American Capital Senior Floating, Ltd.",13.85,138501385,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf,nasdaq
ACAS,"American Capital, Ltd.",14.21,3833896850,n/a,1997,n/a,n/a,http://www.nasdaq.com/symbol/acas,nasdaq
ANCI,American Caresource Holdings Inc,1.98,11313640.8,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/anci,nasdaq
AETI,"American Electric Technologies, Inc.",6.75,55834069.5,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti,nasdaq
AMIC,American Independence Corp.,10.81,87264243.88,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/amic,nasdaq
AMNB,"American National Bankshares, Inc.",22.48,177450353.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb,nasdaq
ANAT,American National Insurance Company,111.12,2988593291,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat,nasdaq
APEI,"American Public Education, Inc.",34.92,615799603.4,n/a,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei,nasdaq
ARII,"American Railcar Industries, Inc.",68.08,1453664380,n/a,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii,nasdaq
ARCP,"American Realty Capital Properties, Inc.",13.94,10679835709,n/a,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arcp,nasdaq
ARCPP,"American Realty Capital Properties, Inc.",22.76,978680000,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arcpp,nasdaq
AMRB,American River Bankshares,9.18,75169594.62,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb,nasdaq
ASEI,"American Science and Engineering, Inc.",65.76,517083111.4,n/a,n/a,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/asei,nasdaq
AMSWA,"American Software, Inc.",10.18,284510589.1,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa,nasdaq
AMSC,American Superconductor Corporation,1.63,111067623,n/a,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc,nasdaq
AMWD,American Woodmark Corporation,33.32,517805761.5,n/a,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd,nasdaq
CRMT,"America&#39;s Car-Mart, Inc.",35.44,309934140.8,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt,nasdaq
ABCB,Ameris Bancorp,23.1,581369296.2,n/a,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb,nasdaq
AMSF,"AMERISAFE, Inc.",42.68,794687942.4,n/a,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf,nasdaq
ASRV,AmeriServ Financial Inc.,3.87,72694807.56,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv,nasdaq
ASRVP,AmeriServ Financial Inc.,26.47,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp,nasdaq
ATLO,Ames National Corporation,21.42,199439756.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo,nasdaq
AMGN,Amgen Inc.,120.55,91016128810,n/a,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn,nasdaq
FOLD,"Amicus Therapeutics, Inc.",2.04,127017183,n/a,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold,nasdaq
AMKR,"Amkor Technology, Inc.",6.64,1446864234,n/a,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr,nasdaq
AMSG,Amsurg Corp.,46.51,1510977393,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsg,nasdaq
ASYS,"Amtech Systems, Inc.",11.85,113571194,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys,nasdaq
AFSI,"AmTrust Financial Services, Inc.",37.13,2778423605,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi,nasdaq
AMRS,"Amyris, Inc.",3.64,277626367.2,n/a,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs,nasdaq
ANAC,"Anacor Pharmaceuticals, Inc.",19.4,811671944,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anac,nasdaq
ANAD,"ANADIGICS, Inc.",1.72,146799094.9,n/a,1995,Technology,Semiconductors,http://www.nasdaq.com/symbol/anad,nasdaq
ADI,"Analog Devices, Inc.",52.84,16513974447,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi,nasdaq
ALOG,Analogic Corporation,77.6,963304051.2,n/a,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog,nasdaq
ANCB,Anchor Bancorp,18.4631,47080905,n/a,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb,nasdaq
AMCF,Andatee China Marine Fuel Services Corporation,1.98,19523114.82,n/a,2010,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/amcf,nasdaq
ANGI,"Angie&#39;s List, Inc.",11.99,701500236.9,n/a,2011,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi,nasdaq
ANGO,"AngioDynamics, Inc.",15.46,545907534.4,n/a,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango,nasdaq
ANIP,"ANI Pharmaceuticals, Inc.",29.39,330941510.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip,nasdaq
ANIK,Anika Therapeutics Inc.,38.41,550220177.2,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik,nasdaq
ANSS,"ANSYS, Inc.",76.13,7045039291,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss,nasdaq
ATRS,"Antares Pharma, Inc.",3.55,461244463.9,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs,nasdaq
ANTH,"Anthera Pharmaceuticals, Inc.",3.21,61966212.36,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth,nasdaq
APAGF,Apco Oil and Gas International Inc.,14.4,131610945.6,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apagf,nasdaq
ATNY,API Technologies Corp.,2.89,159998497.8,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/atny,nasdaq
APOG,"Apogee Enterprises, Inc.",32,922939168,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog,nasdaq
APOL,"Apollo Education Group, Inc.",32.85,3701767950,n/a,1994,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apol,nasdaq
AINV,Apollo Investment Corporation,8.26,1856363559,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv,nasdaq
AAPL,Apple Inc.,536.86,4.78873E+11,n/a,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl,nasdaq
ARCI,"Appliance Recycling Centers of America, Inc.",3.03,16910208.81,n/a,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/arci,nasdaq
AGTC,Applied Genetic Technologies Corporation,14.55,0,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/agtc,nasdaq
